"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"12/10/2020 12:00:00 AM","20:53:00","20055662    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","2634 RUTGER ST","","3","The Gate District","31","38.619676","-90.221225","Yes","10/16/2025 12:05:02 PM","574109","Yes","Aggravated Assault - Shooting - Criminal"
"12/10/2020 12:00:00 AM","20:53:00","20055662    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","2634 RUTGER ST","","3","The Gate District","31","38.619676","-90.221225","Yes","10/16/2025 12:05:02 PM","574110","Yes","Aggravated Assault - Shooting - Criminal"
"12/10/2020 12:00:00 AM","20:53:00","20055662    ","ENDANGERING THE WELFARE OF A CHILD CREATING SUBSTANTIAL RISK- 1ST DEGREE - 1ST OFFENSE - NO SEXUAL CONDUCT","90F","Family Offenses, Nonviolent","","Society","F","04","2634 RUTGER ST","","3","The Gate District","31","38.619676","-90.221225","Yes","10/16/2025 12:05:02 PM","","No","Aggravated Assault - Shooting - Criminal"
"12/10/2020 12:00:00 AM","20:53:00","20055662    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","04","2634 RUTGER ST","","3","The Gate District","31","38.619676","-90.221225","Yes","10/16/2025 12:05:02 PM","","No","Aggravated Assault - Shooting - Criminal"
"1/7/2021 12:00:00 AM","23:25:00","21001068    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","110 N 17TH ST","","4","Downtown West","36","38.62996","-90.20453","Yes","10/8/2025 12:05:01 AM","571255","Yes","Aggravated Assault - Shooting - Criminal"
"1/7/2021 12:00:00 AM","23:25:00","21001068    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","110 N 17TH ST","","4","Downtown West","36","38.62996","-90.20453","Yes","10/8/2025 12:05:01 AM","","No","Aggravated Assault - Shooting - Criminal"
"1/7/2021 12:00:00 AM","23:25:00","21001068    ","ARMED CRIMINAL ACTION","520","Weapons Law Violations","","Society","F","04","110 N 17TH ST","","4","Downtown West","36","38.62996","-90.20453","Yes","10/8/2025 12:05:01 AM","","Yes","Aggravated Assault - Shooting - Criminal"
"3/9/2021 12:00:00 AM","18:50:00","21009892    ","MISCELLANEOUS WEAPON VIOLATION","520","Weapons Law Violations","","Society","C","","5700 COTE BRILLIANTE AVE","","5","Wells Goodfellow","50","38.672466","-90.276538","Yes","10/9/2025 12:05:47 AM","","Yes","Weapon Law Violation - Criminal"
"4/10/2021 12:00:00 AM","13:00:00","21014527    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","F","01","5526 FLOY AVE","","6","Walnut Park West","76","38.708419","-90.25685","Yes","10/26/2025 8:25:45 AM","577156","No","Homicide - Criminal"
"6/30/2021 12:00:00 AM","05:25:00","21027887    ","ASSAULT 1ST DEGREE OR ATTEMPT","13A","Aggravated Assault","04","Person","F","04","5938 MCARTHUR AVE","","6","Mark Twain / I 70 Industrial","70","38.689554","-90.27278","Yes","10/15/2025 12:05:15 PM","573765","Yes","Aggravated Assault - Shooting - Criminal"
