"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"1/11/2021 12:00:00 AM","19:30:00","21004037    ","STEALING UNDER $150 (PETTY LARCENY-MOTOR VEH PARTS-PLATES/TABS)","23G","Theft From Motor Vehicle Parts/Accessories","06","Property","","06","2233 WASHINGTON AVE","","4","Downtown West","36","38.635196","-90.211532","Yes","9/12/2025 2:54:56 PM","","No","Motor Vehicle Theft - Criminal"
"1/11/2021 12:00:00 AM","19:30:00","21004037    ","STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT","240","Motor Vehicle Theft","07","Property","F","06","2233 WASHINGTON AVE","","4","Downtown West","36","38.635196","-90.211532","Yes","9/12/2025 2:54:56 PM","","No","Motor Vehicle Theft - Criminal"
"2/7/2021 12:00:00 AM","20:00:00","21005651    ","SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE","11B","Sodomy","02","Person","F","02","KEOKUK ST","","3","Dutchtown","16","38.585012","-90.232682","Yes","9/29/2025 6:05:09 PM","568405","No","Sex Offenses - Criminal"
"2/23/2021 12:00:00 AM","20:50:00","21007865    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","5000 CATES","CLARENDON / KENNSINGTON","5","Academy","51","38.654844","-90.263286","Yes","9/8/2025 6:06:00 PM","561300","Yes","Aggravated Assault - Shooting - Criminal"
"2/23/2021 12:00:00 AM","20:50:00","21007865    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","5000 CATES","CLARENDON / KENNSINGTON","5","Academy","51","38.654844","-90.263286","Yes","9/8/2025 6:06:00 PM","","No","Aggravated Assault - Shooting - Criminal"
"2/23/2021 12:00:00 AM","21:10:00","21007867    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","CLARENDON AVE","KENSINGTON AVE","5","Academy","51","38.658235","-90.269657","Yes","9/8/2025 6:06:01 PM","561302","Yes","Aggravated Assault - Shooting - Criminal"
"3/22/2021 12:00:00 AM","02:40:00","21011493    ","MURDER 1ST DEGREE","09A","Murder and Nonnegligent Manslaughter","01","Person","F","01","5630 COTE BRILLIANTE AVE","","5","Wells Goodfellow","50","38.671929","-90.275434","Yes","9/23/2025 12:05:44 AM","566206","Yes","Aggravated Assault - Shooting - Criminal"
"4/10/2021 12:00:00 AM","07:10:00","21014423    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","3701 LINDELL","","4","Midtown","37","38.638441","-90.23664","Yes","9/4/2025 1:27:54 PM","","No","Robbery - Criminal"
"5/4/2021 12:00:00 AM","12:42:00","21018285    ","MISCELLANEOUS WEAPON VIOLATION","520","Weapons Law Violations","","Society","C","","5145 PALM ST","","5","Kingsway West","52","38.6773","-90.255791","Yes","9/17/2025 12:05:50 AM","","Yes","Weapon Law Violation - Criminal"
"5/5/2021 12:00:00 AM","00:10:00","21018382    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","2108 GANO AVE","","6","College Hill","66","38.671166","-90.21262","Yes","9/29/2025 6:05:09 PM","568406","Yes","Aggravated Assault - Shooting - Criminal"
