"IncidentDate","OccurredFromTime","IncidentNum","Offense","NIBRS","NIBRSCategory","SRS_UCR","CrimeAgainst","FelMisdCit","IncidentTopSRS_UCR","IncidentLocation","IntersectionOtherLoc","District","Neighborhood","NbhdNum","Latitude","Longitude","IncidentSupplemented","LastSuppDate","VictimNum","FirearmUsed","IncidentNature"
"12/7/2020 12:00:00 AM","01:00:00","20055065    ","PROPERTY DAMAGE - 2ND DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","M","","4107 OREGON AVE","","3","Dutchtown","16","38.581238","-90.234106","Yes","1/29/2026 8:14:22 AM","","No","Aggravated Assault - Other Weapon - Criminal"
"12/15/2020 12:00:00 AM","15:30:00","20056432    ","TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE","240","Motor Vehicle Theft","07","Property","F","07","3013 RAUSCHENBACK AVE.","","4","St Louis Place","60","38.653859","-90.204096","Yes","1/29/2026 11:51:00 AM","","No","Motor Vehicle Theft - Criminal"
"12/15/2020 12:00:00 AM","15:30:00","20056432    ","TAMPERING WITH MOTOR VEHICLE 2ND DEGREE","240","Motor Vehicle Theft","07","Property","M","07","3013 RAUSCHENBACK AVE.","","4","St Louis Place","60","38.653859","-90.204096","Yes","1/29/2026 11:51:00 AM","","No","Motor Vehicle Theft - Criminal"
"12/15/2020 12:00:00 AM","15:30:00","20056432    ","RESISTING/INTERFERING WITH ARREST FOR A FELONY","90Z","All Other Offenses","","Unspecified","F","07","3013 RAUSCHENBACK AVE.","","4","St Louis Place","60","38.653859","-90.204096","Yes","1/29/2026 11:51:00 AM","","No","Motor Vehicle Theft - Criminal"
"12/30/2020 12:00:00 AM","16:35:00","20058574    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","2707 RAUSCHENBACH AVE","","4","Old North St Louis","63","38.650919","-90.20513","Yes","1/28/2026 11:16:00 AM","","Yes","Carjacking - Criminal"
"12/30/2020 12:00:00 AM","16:35:00","20058574    ","POSSESSION OF CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS OF MARIJUANA/SYNTHETIC CANNABINOID","35A","Drug/Narcotic Violations","","Society","F","03","2707 RAUSCHENBACH AVE","","4","Old North St Louis","63","38.650919","-90.20513","Yes","1/28/2026 11:16:00 AM","","No","Carjacking - Criminal"
"12/30/2020 12:00:00 AM","16:35:00","20058574    ","RESISTING ARREST/DETENTION/STOP BY FLEEING - CREATING A SUBSTANTIAL RISK OF SERIOUS INJURY/DEATH TO ANY PERSON","90Z","All Other Offenses","","Unspecified","F","03","2707 RAUSCHENBACH AVE","","4","Old North St Louis","63","38.650919","-90.20513","Yes","1/28/2026 11:16:00 AM","","No","Carjacking - Criminal"
"12/30/2020 12:00:00 AM","16:35:00","20058574    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","03","2707 RAUSCHENBACH AVE","","4","Old North St Louis","63","38.650919","-90.20513","Yes","1/28/2026 11:16:00 AM","","Yes","Carjacking - Criminal"
"1/1/2021 12:00:00 AM","06:15:00","21000045    ","ROBBERY - 1ST DEGREE","120","Robbery","03","Property","F","03","209 E GRAND AVE","","6","Near North Riverfront","64","38.67377","-90.20344","Yes","1/12/2026 6:06:29 PM","","Yes","Carjacking - Criminal"
"1/14/2021 12:00:00 AM","10:30:00","21001460    ","TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE","240","Motor Vehicle Theft","07","Property","F","07","2401 ANNIE MALONE DR","","6","The Ville","57","38.658201","-90.238464","Yes","1/29/2026 2:35:00 PM","","No","Stolen Property - Criminal"
"1/14/2021 12:00:00 AM","10:30:00","21001460    ","STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT","240","Motor Vehicle Theft","07","Property","F","07","2401 ANNIE MALONE DR","","6","The Ville","57","38.658201","-90.238464","Yes","1/29/2026 2:35:00 PM","","No","Stolen Property - Criminal"
"1/14/2021 12:00:00 AM","10:30:00","21001460    ","RESISTING ARREST/DETENTION/STOP BY FLEEING - CREATING A SUBSTANTIAL RISK OF SERIOUS INJURY/DEATH TO ANY PERSON","90Z","All Other Offenses","","Unspecified","F","07","2401 ANNIE MALONE DR","","6","The Ville","57","38.658201","-90.238464","Yes","1/29/2026 2:35:00 PM","","No","Stolen Property - Criminal"
"1/14/2021 12:00:00 AM","10:30:00","21001460    ","RESISTING/INTERFERING WITH ARREST FOR A FELONY","90Z","All Other Offenses","","Unspecified","F","07","2401 ANNIE MALONE DR","","6","The Ville","57","38.658201","-90.238464","Yes","1/29/2026 2:35:00 PM","","No","Stolen Property - Criminal"
"2/17/2021 12:00:00 AM","11:15:00","21006903    ","TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE","240","Motor Vehicle Theft","07","Property","F","07","5600 S GRAND BLVD","","1","Carondelet","1","38.632113","-90.207662","Yes","1/28/2026 11:53:26 AM","","No","Motor Vehicle Theft - Criminal"
"2/17/2021 12:00:00 AM","11:15:00","21006903    ","TAMPERING WITH MOTOR VEHICLE 2ND DEGREE","240","Motor Vehicle Theft","07","Property","M","07","5600 S GRAND BLVD","","1","Carondelet","1","38.632113","-90.207662","Yes","1/28/2026 11:53:26 AM","","No","Motor Vehicle Theft - Criminal"
"2/17/2021 12:00:00 AM","11:15:00","21006903    ","POSSESSION OF CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS OF MARIJUANA/SYNTHETIC CANNABINOID","35A","Drug/Narcotic Violations","","Society","F","07","5600 S GRAND BLVD","","1","Carondelet","1","38.632113","-90.207662","Yes","1/28/2026 11:53:26 AM","","No","Motor Vehicle Theft - Criminal"
"2/17/2021 12:00:00 AM","11:15:00","21006903    ","UNLAWFUL USE OF WEAPON - SUBSECTION 11 - POSSESS WEAPON AND A FELONY CONTROLLED SUBSTANCE","520","Weapons Law Violations","","Society","F","07","5600 S GRAND BLVD","","1","Carondelet","1","38.632113","-90.207662","Yes","1/28/2026 11:53:26 AM","","Yes","Motor Vehicle Theft - Criminal"
"2/22/2021 12:00:00 AM","23:25:00","21007698    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","4638 ANDERSON AVE","","6","Penrose","69","38.679284","-90.23828","Yes","1/29/2026 2:30:00 PM","605701","Yes","Aggravated Assault - Shooting - Criminal"
"2/22/2021 12:00:00 AM","23:25:00","21007698    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","4638 ANDERSON AVE","","6","Penrose","69","38.679284","-90.23828","Yes","1/29/2026 2:30:00 PM","605700","Yes","Aggravated Assault - Shooting - Criminal"
"2/22/2021 12:00:00 AM","23:25:00","21007698    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","4638 ANDERSON AVE","","6","Penrose","69","38.679284","-90.23828","Yes","1/29/2026 2:30:00 PM","","No","Aggravated Assault - Shooting - Criminal"
"2/22/2021 12:00:00 AM","23:25:00","21007698    ","UNLAWFUL POSSESSION OF A FIREARM - DANGEROUS FELON","520","Weapons Law Violations","","Society","F","04","4638 ANDERSON AVE","","6","Penrose","69","38.679284","-90.23828","Yes","1/29/2026 2:30:00 PM","","Yes","Aggravated Assault - Shooting - Criminal"
"2/22/2021 12:00:00 AM","23:25:00","21007698    ","ARMED CRIMINAL ACTION","90Z","All Other Offenses","","Unspecified","F","04","4638 ANDERSON AVE","","6","Penrose","69","38.679284","-90.23828","Yes","1/29/2026 2:30:00 PM","","No","Aggravated Assault - Shooting - Criminal"
"2/23/2021 12:00:00 AM","20:50:00","21007865    ","ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM","13A","Aggravated Assault","04","Person","F","04","5000 CATES","CLARENDON / KENNSINGTON","5","Academy","51","38.654844","-90.263286","Yes","1/7/2026 12:05:20 PM","598670","Yes","Aggravated Assault - Shooting - Criminal"
"2/23/2021 12:00:00 AM","20:50:00","21007865    ","PROPERTY DAMAGE 1ST DEGREE","290","Destruction/Damage/Vandalism of Property","","Property","F","04","5000 CATES","CLARENDON / KENNSINGTON","5","Academy","51","38.654844","-90.263286","Yes","1/7/2026 12:05:20 PM","","No","Aggravated Assault - Shooting - Criminal"
